""	"neglog10_reporter-p_Non-directional"	"neglog10_reporter-p_Distinct-directional (up)"	"neglog10_reporter-p_Distinct-directional (dn)"	"neglog10_reporter-p_Mixed-directional (up)"	"neglog10_reporter-p_Mixed-directional (dn)"	"inv_ConsRank_Non-directional"	"inv_ConsRank_Distinct-directional (up)"	"inv_ConsRank_Distinct-directional (dn)"	"inv_ConsRank_Mixed-directional (up)"	"inv_ConsRank_Mixed-directional (dn)"
"O2- (C_c)"	0.271126998630485	0.127552352210987	0	0.152995255944858	0.152995255944858	0.000465766185374942	0.000571102227298686	0.000475511174512601	0.000554631170271769	0.000554631170271769
"urea (C_c)"	0.334709886693641	0	0.351181538031502	0.319320088931538	0.319320088931538	0.000465549348230912	0.00044404973357016	0.000921658986175115	0.000627746390458255	0.000627746390458255
"N1-acetylspermine (C_c)"	0.33357562748124	0.385471880252461	0			0.000465549348230912	0.00157728706624606	0.000475511174512601	0.000310462589257994	0.000310462589257994
"N1-acetylspermine (C_p)"	0.33357562748124	0.385471880252461	0			0.000465549348230912	0.00157728706624606	0.000475511174512601	0.000310462589257994	0.000310462589257994
"N1-acetylspermidine (C_c)"	0.33357562748124	0.385471880252461	0			0.000465549348230912	0.00157728706624606	0.000475511174512601	0.000310462589257994	0.000310462589257994
"N1-acetylspermidine (C_p)"	0.33357562748124	0.385471880252461	0			0.000465549348230912	0.00157728706624606	0.000475511174512601	0.000310462589257994	0.000310462589257994
"stearoyl-CoA (C_r)"	0.335865938261383	0	0.451794904349259	0.689582855067063	0.689582855067063	0.000465549348230912	0.00044404973357016	0.000910746812386157	0.00101112234580384	0.00101112234580384
"1-alkyl-2-lysoglycerol-3-phosphocholine (C_c)"	0.33357562748124	0	0.435961571821561	0.318387961095072	0.318387961095072	0.000465549348230912	0.00044404973357016	0.00114285714285714	0.000624609618988132	0.000624609618988132
"(13Z)-eicosenoyl-CoA (C_m)"	0.335715383341332	0	0.304255724802677	0.640676870023793	0.640676870023793	0.000464037122969838	0.00044404973357016	0.00070871722182849	0.00099403578528827	0.00099403578528827
"heneicosanoyl-CoA (C_m)"	0.335715383341332	0	0.304255724802677	0.640676870023793	0.640676870023793	0.000464037122969838	0.00044404973357016	0.00070871722182849	0.00099403578528827	0.00099403578528827
"docosanoyl-CoA (C_m)"	0.335715383341332	0	0.304255724802677	0.640676870023793	0.640676870023793	0.000464037122969838	0.00044404973357016	0.00070871722182849	0.00099403578528827	0.00099403578528827
"(13Z)-docosenoyl-CoA (C_m)"	0.335715383341332	0	0.304255724802677	0.640676870023793	0.640676870023793	0.000464037122969838	0.00044404973357016	0.00070871722182849	0.00099403578528827	0.00099403578528827
"5-formyl-THF (C_m)"	0.33357562748124	0	0.347260642314487	0.315513707811266	0.315513707811266	0.000463177396943029	0.00044404973357016	0.000919963201471941	0.0006265664160401	0.0006265664160401
"2,3-diketo-5-methylthiopentyl-1-phosphate (C_c)"	0.334709886693641	0	0.0625673704647223	0.353253287199243	0.353253287199243	0.000462962962962963	0.00044404973357016	0.000546448087431694	0.000688231245698555	0.000688231245698555
"GMP (C_s)"	0.318695432630168	0.364606740628254	0	0.0982584170096829	0.0982584170096829	0.000462748727441	0.00151515151515152	0.000475511174512601	0.000453926463912846	0.000453926463912846
"glutamine (C_m)"	0.334578498440702	0.292310622169266	0	0.0218468842097546	0.0218468842097546	0.000462534690101758	0.00058411214953271	0.000475511174512601	0.000374672161858374	0.000374672161858374
"GDP-mannose (C_c)"	0.333781636208919	0	0.0860061116164763	0.476656808058701	0.476656808058701	0.000462320850670365	0.000501504513540622	0.000500751126690035	0.000852514919011083	0.000852514919011083
"arachidonate (C_n)"	0.32202824718926	0.305087832671431	0			0.000462107208872458	0.00093984962406015	0.000475511174512601	0.000310462589257994	0.000310462589257994
"4-aminobutyrate (C_c)"	0.352294363341144	0	0.00587209486672981	0.246915095153395	0.246915095153395	0.00046189376443418	0.000449640287769784	0.00055005500550055	0.000586854460093897	0.000586854460093897
"chondroitin sulfate A (GalNAc4S-GlcA), free chain (C_l)"	0.334709886693641	0.29312866326705	0	0.162266400371745	0.162266400371745	0.000461680517082179	0.00106269925611052	0.000475511174512601	0.000515463917525773	0.000515463917525773
"chondroitin sulfate A (GalNAc4S-GlcA), degradation product 4 (C_l)"	0.334709886693641	0.29312866326705	0	0.162266400371745	0.162266400371745	0.000461680517082179	0.00106269925611052	0.000475511174512601	0.000515463917525773	0.000515463917525773
"chondroitin sulfate B - dermatan sulfate (IdoA2S-GalNAc4S), free chain (C_l)"	0.334709886693641	0.29312866326705	0	0.162266400371745	0.162266400371745	0.000461680517082179	0.00106269925611052	0.000475511174512601	0.000515463917525773	0.000515463917525773
"chondroitin sulfate E (GalNAc4,6diS-GlcA), free chain (C_l)"	0.334709886693641	0.29312866326705	0	0.162266400371745	0.162266400371745	0.000461680517082179	0.00106269925611052	0.000475511174512601	0.000515463917525773	0.000515463917525773
"sulfatide (C_l)"	0.320372264882716	0	0.0350195020007603	0.578758136078945	0.578758136078945	0.000460829493087558	0.000515198351365276	0.0005005005005005	0.000889679715302491	0.000889679715302491
"2-methoxy-6-all trans-decaprenyl-2-methoxy-1,4-benzoquinol (C_m)"	0.31523540310331	0	0.473880510543113	0.294050805089704	0.294050805089704	0.000460617227084293	0.00044404973357016	0.00114810562571757	0.000628535512256443	0.000628535512256443
"aspartate (C_m)"	0.328734567052842	0.409760221691033	0	0.0238151484923104	0.0238151484923104	0.000460405156537753	0.00165289256198347	0.000475511174512601	0.000364033491081179	0.000364033491081179
"VLDL (C_s)"	0.331595444461822	0	0.212497019129636	0.550028189433107	0.550028189433107	0.000460405156537753	0.00044404973357016	0.000726744186046512	0.000894454382826476	0.000894454382826476
"TAG-VLDL pool (C_s)"	0.331595444461822	0	0.212497019129636	0.550028189433107	0.550028189433107	0.000460405156537753	0.00044404973357016	0.000726744186046512	0.000894454382826476	0.000894454382826476
"VLDL remnant (C_s)"	0.331595444461822	0	0.212497019129636	0.550028189433107	0.550028189433107	0.000460405156537753	0.00044404973357016	0.000726744186046512	0.000894454382826476	0.000894454382826476
"S-methyl-5-thio-D-ribulose-1-phosphate (C_c)"	0.330283417711126	0	0.0636974242236536	0.353253287199243	0.353253287199243	0.000459558823529412	0.00044404973357016	0.000549450549450549	0.000688231245698555	0.000688231245698555
"hydroxymethylbilane (C_c)"	0.30257884260582	0.409760221691033	0			0.000459347726228755	0.00154559505409583	0.000475511174512601	0.000310462589257994	0.000310462589257994
"G00146 (C_r)"	0.324854319747218	0	0.311998654973472	0.454173525588396	0.454173525588396	0.000459136822773186	0.00044404973357016	0.00084530853761623	0.000740740740740741	0.000740740740740741
"L-carnitine (C_p)"	0.319157048475074	0.391121111826984	0	0.160622524497241	0.160622524497241	0.000458926112895824	0.00154320987654321	0.000475511174512601	0.000495294700346706	0.000495294700346706
"4-hydroxy-debrisoquine (C_c)"	0.315702338185175	0	0.331353212201343	0.292395762925465	0.292395762925465	0.000458715596330275	0.00044404973357016	0.000912408759124088	0.000621504039776259	0.000621504039776259
