""	"neglog10_reporter-p_Non-directional"	"neglog10_reporter-p_Distinct-directional (up)"	"neglog10_reporter-p_Distinct-directional (dn)"	"neglog10_reporter-p_Mixed-directional (up)"	"neglog10_reporter-p_Mixed-directional (dn)"	"inv_ConsRank_Non-directional"	"inv_ConsRank_Distinct-directional (up)"	"inv_ConsRank_Distinct-directional (dn)"	"inv_ConsRank_Mixed-directional (up)"	"inv_ConsRank_Mixed-directional (dn)"
"13-cis-retinoyl-glucuronide (C_r)"	0.747438213793671	0.688436846680087	0			0.000927643784786642	0.00398406374501992	0.000542005420054201	0.000305343511450382	0.000305343511450382
"chondroitin sulfate precursor (GalNAc-GlcA-(Gal)2-Xyl-L-Ser (protein)) (C_g)"	0.740645072691966	0.81690105989987	0	0.0914720899572343	0.0914720899572343	0.000919963201471941	0.00363636363636364	0.000542005420054201	0.000359841669665347	0.000359841669665347
"chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 4 (C_g)"	0.740645072691966	0.81690105989987	0	0.0914720899572343	0.0914720899572343	0.000919963201471941	0.00363636363636364	0.000542005420054201	0.000359841669665347	0.000359841669665347
"retinoate (C_r)"	0.710634048479968	0.859209223374698	0	0.135411796988235	0.135411796988235	0.000919963201471941	0.00408163265306122	0.000542005420054201	0.000416319733555371	0.000416319733555371
"sphingosine (C_l)"	0.899629454882437	0.863374544239068	0			0.000917431192660551	0.00383141762452107	0.000542005420054201	0.000305343511450382	0.000305343511450382
"glucose (C_s)"	0.894081259713627	0.688436846680087	0	0.213724291410011	0.213724291410011	0.000916590284142988	0.00245700245700246	0.000542005420054201	0.000536193029490617	0.000536193029490617
"1-acylglycerol-3P-LD-PC pool (C_c)"	0.893809102736585	0.255636596454733	0	0.446383940270617	0.446383940270617	0.000915750915750916	0.00102040816326531	0.000542005420054201	0.00072463768115942	0.00072463768115942
"1-acylglycerol-3P-LD-PE pool (C_c)"	0.893809102736585	0.255636596454733	0	0.446383940270617	0.446383940270617	0.000915750915750916	0.00102040816326531	0.000542005420054201	0.00072463768115942	0.00072463768115942
"1-acylglycerol-3P-LD-PS pool (C_c)"	0.893809102736585	0.255636596454733	0	0.446383940270617	0.446383940270617	0.000915750915750916	0.00102040816326531	0.000542005420054201	0.00072463768115942	0.00072463768115942
"1-acylglycerol-3P-LD-PI pool (C_c)"	0.893809102736585	0.255636596454733	0	0.446383940270617	0.446383940270617	0.000915750915750916	0.00102040816326531	0.000542005420054201	0.00072463768115942	0.00072463768115942
"1-acylglycerol-3P-LD-SM pool (C_c)"	0.893809102736585	0.255636596454733	0	0.446383940270617	0.446383940270617	0.000915750915750916	0.00102040816326531	0.000542005420054201	0.00072463768115942	0.00072463768115942
"GSSG (C_s)"	0.892790030352132	0	0.446116973356126	0.529795384582276	0.529795384582276	0.000911577028258888	0.000407166123778502	0.00107181136120043	0.000983284169124877	0.000983284169124877
"5(S)-HPETE (C_m)"	0.892790030352132	0	0.446116973356126	0.529795384582276	0.529795384582276	0.000911577028258888	0.000407166123778502	0.00107181136120043	0.000983284169124877	0.000983284169124877
"15(S)-HETE (C_c)"	0.892790030352132	0	0.446116973356126	0.529795384582276	0.529795384582276	0.000911577028258888	0.000407166123778502	0.00107181136120043	0.000983284169124877	0.000983284169124877
"hepoxilin A3 (C_s)"	0.892790030352132	0	0.446116973356126	0.529795384582276	0.529795384582276	0.000911577028258888	0.000407166123778502	0.00107181136120043	0.000983284169124877	0.000983284169124877
